Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year
Total,113904639,125724.0,64356313,83087.0,49548326,95377.0,43.5,0.1,50078,54,53544,209,43394,181,81,0.4,2019
"Management, Business, Science, and Arts Occupations:",49569176,169245.0,24972005,101347.0,24597171,89023.0,49.6,0.1,69998,196,81524,133,60523,100,74.2,0.1,2019
"Management, Business, and Financial Occupations:",21998717,92539.0,12218349,57032.0,9780368,52738.0,44.5,0.1,75389,177,85162,309,65379,211,76.8,0.3,2019
Management Occupations:,14867734,72493.0,8900617,48751.0,5967117,39262.0,40.1,0.2,78315,684,87792,963,66767,289,76.1,0.8,2019
Chief executives,1268017,20322.0,932743,16035.0,335274,10531.0,26.4,0.7,150513,442,157133,3570,120635,1413,76.8,2,2019
General and operations managers,1026798,16816.0,685078,13353.0,341720,10010.0,33.3,0.8,72566,1386,80489,767,61643,772,76.6,1.2,2019
Legislators,12078,1675.0,7266,1558.0,4812,1187.0,39.8,8.1,72354,13792,77814,23583,71119,13950,(X),(X),2019
Advertising and promotions managers,47962,3614.0,20939,2381.0,27023,2677.0,56.3,3.6,81019,4796,91634,10878,72041,10979,78.6,15.2,2019
Marketing managers,462811,11324.0,185926,8109.0,276885,8855.0,59.8,1.2,80596,986,95007,6099,75432,1753,79.4,5.4,2019
Sales managers,494737,10493.0,334121,9337.0,160616,7173.0,32.5,1.3,99456,3172,106477,1771,77087,2452,72.4,2.6,2019
Public relations and fundraising managers,84254,4722.0,28038,3372.0,56216,3497.0,66.7,1.8,80613,2211,88589,6236,76776,3758,86.7,7.4,2019
Administrative services managers,56637,3725.0,17489,2108.0,39148,3109.0,69.1,3.1,64213,4151,76445,5306,60398,3676,79,7.3,2019
Facilities managers,109054,5853.0,90355,5493.0,18699,2646.0,17.1,2.2,70673,3273,71641,2070,61894,6372,86.4,9.2,2019
Computer and information systems managers,614170,14294.0,437646,11148.0,176524,7536.0,28.7,1.0,112542,2188,118104,3078,101763,936,86.2,2.4,2019
Financial managers,1207274,20883.0,533586,13512.0,673688,14838.0,55.8,0.8,81468,561,102404,1889,68737,1668,67.1,2,2019
Compensation and benefits managers,17663,2443.0,4326,1046.0,13337,2016.0,75.5,4.6,82475,6844,101196,23130,81396,2625,(X),(X),2019
Human resources managers,239909,8420.0,59647,4213.0,180262,7457.0,75.1,1.6,82113,1247,95120,6426,80175,1646,84.3,6,2019
Training and development managers,51405,4082.0,23477,2905.0,27928,2825.0,54.3,3.4,77092,5145,80200,7285,74867,6604,93.4,11.8,2019
Industrial production managers,255384,9675.0,197946,8404.0,57438,3882.0,22.5,1.3,81203,1120,82295,2041,72351,5473,87.9,7,2019
Purchasing managers,199161,7913.0,100815,5127.0,98346,5411.0,49.4,1.9,80744,1336,88888,4764,73783,3630,83,6,2019
"Transportation, storage, and distribution managers",254736,9113.0,204652,8215.0,50084,3410.0,19.7,1.1,58586,2551,59497,2530,56225,2888,94.5,6.3,2019
"Farmers, ranchers, and other agricultural managers",468808,12386.0,411859,10954.0,56949,3889.0,12.1,0.8,42498,1610,46000,1257,32007,1980,69.6,4.7,2019
Construction managers,779567,18223.0,716687,17323.0,62880,4222.0,8.1,0.5,77210,674,78521,1746,67585,3451,86.1,4.8,2019
Education and childcare administrators,801378,15927.0,285342,10052.0,516036,12460.0,64.4,0.9,73198,1652,83924,2316,67133,892,80,2.5,2019
Architectural and engineering managers,167664,6834.0,149081,6170.0,18583,2076.0,11.1,1.2,146705,4333,147093,4556,142245,14946,96.7,10.6,2019
Food service managers,831299,17524.0,432632,12030.0,398667,12400.0,48.0,1.1,40280,437,45775,830,35417,628,77.4,2,2019
Funeral home managers,7149,1475.0,4520,1036.0,2629,928.0,36.8,10.5,56017,6557,66451,14615,45318,5108,(X),(X),2019
Entertainment and recreation managers,31252,3265.0,19178,2467.0,12074,1905.0,38.6,4.6,56527,5228,62292,6508,50514,2425,81.1,9.3,2019
Lodging managers,123830,6358.0,60479,4812.0,63351,4639.0,51.2,2.7,51576,1230,61950,4365,45892,2010,74.1,6.1,2019
Medical and health services managers,611961,12191.0,172451,7135.0,439510,10595.0,71.8,1.0,75556,886,88871,4663,71282,850,80.2,4.3,2019
Natural sciences managers,15582,1844.0,6544,1312.0,9038,1328.0,58.0,5.1,86206,4201,91559,15425,82432,7604,90,17.3,2019
Postmasters and mail superintendents,25907,2463.0,12918,1857.0,12989,1712.0,50.1,4.6,75172,2150,80298,3669,70511,2369,87.8,5,2019
"Property, real estate, and community association managers",469549,13687.0,223510,8123.0,246039,8667.0,52.4,1.0,56061,1186,65809,1999,50783,730,77.2,2.6,2019
Social and community service managers,347489,10816.0,104765,5718.0,242724,9258.0,69.9,1.5,60680,788,69624,3072,57201,1213,82.2,4,2019
Emergency management directors,12432,1865.0,7815,1385.0,4617,1273.0,37.1,8.6,72131,8347,89610,8623,54977,11285,(X),(X),2019
"Personal service managers, all other",1777,723.0,458,303.0,1319,670.0,74.2,22.6,62153,38742,100137,126567,56102,17912,(X),(X),2019
"Managers, all other",3770040,35804.0,2428328,26390.0,1341712,23657.0,35.6,0.5,81086,398,90343,597,68884,1382,76.2,1.6,2019
Business and Financial Operations Occupations:,7130983,52151.0,3317732,35274.0,3813251,35295.0,53.5,0.3,70234,184,80061,517,62437,198,78,0.6,2019
"Agents and business managers of artists, performers, and athletes",31236,3556.0,19625,2861.0,11611,2009.0,37.2,4.8,66531,7947,71625,6015,55970,13411,78.1,19.8,2019
"Buyers and purchasing agents, farm products",8191,1431.0,6434,1397.0,1757,749.0,21.5,8.3,55855,7745,55835,8319,60036,21378,(X),(X),2019
"Wholesale and retail buyers, except farm products",148058,7051.0,73781,4388.0,74277,5107.0,50.2,2.5,46212,1788,45571,2271,47091,2820,103.3,8.1,2019
"Purchasing agents, except wholesale, retail, and farm products",249353,7660.0,119709,5779.0,129644,6344.0,52.0,2.0,57633,1557,61399,754,55160,1542,89.8,2.7,2019
"Claims adjusters, appraisers, examiners, and investigators",310821,11179.0,122774,5832.0,188047,8896.0,60.5,1.9,57095,1191,65756,1546,52257,983,79.5,2.4,2019
Compliance officers,267175,9161.0,125444,5957.0,141731,6432.0,53.0,1.6,70080,1457,71591,1335,67291,1461,94,2.7,2019
Cost estimators,134311,5380.0,114132,4837.0,20179,2353.0,15.0,1.6,66724,1186,70429,1839,51396,2340,73,3.8,2019
Human resources workers,721077,16161.0,178206,7203.0,542871,13276.0,75.3,0.7,61216,515,69952,2571,59120,1777,84.5,4,2019
"Compensation, benefits, and job analysis specialists",64873,4516.0,14435,1883.0,50438,4094.0,77.7,3.2,58516,3263,67307,5679,56436,2397,83.8,7.9,2019
Training and development specialists,129863,7279.0,57930,4501.0,71933,5094.0,55.4,2.4,60722,1167,70273,3506,54357,2630,77.4,5.4,2019
Logisticians,144009,7486.0,93377,6015.0,50632,4117.0,35.2,2.2,53653,2929,57995,2845,49367,2503,85.1,6,2019
Project management specialists,589543,14378.0,330922,11406.0,258621,9350.0,43.9,1.2,86829,874,91657,957,81250,923,88.6,1.4,2019
Management analysts,726470,14419.0,416513,12748.0,309957,8322.0,42.7,0.8,87256,1037,95439,2167,80978,810,84.8,2.1,2019
"Meeting, convention, and event planners",104821,6097.0,25790,3768.0,79031,4784.0,75.4,1.3,51837,1250,48050,3713,53177,2509,110.7,10,2019
Fundraisers,64629,4349.0,17970,2122.0,46659,3797.0,72.2,3.3,71979,3183,78295,8672,70435,3287,90,10.8,2019
Market research analysts and marketing specialists,275322,8825.0,114274,5127.0,161048,6448.0,58.5,1.4,70326,1477,77416,6548,64915,1882,83.9,7.5,2019
"Business operations specialists, all other",320774,9608.0,144105,6939.0,176669,7060.0,55.1,1.5,65134,1531,77146,2755,57186,1480,74.1,3.3,2019
Accountants and auditors,1442414,23743.0,596824,14019.0,845590,17986.0,58.6,0.8,70258,404,80288,717,64303,948,80.1,1.4,2019
Property appraisers and assessors,76705,4578.0,48064,3751.0,28641,2741.0,37.3,2.8,62871,3735,70439,4756,56134,2701,79.7,6.6,2019
Budget analysts,47888,3893.0,18816,2289.0,29072,3329.0,60.7,4.9,80399,2590,85902,6072,75988,1901,88.5,6.6,2019
Credit analysts,33966,3279.0,15441,2506.0,18525,2404.0,54.5,4.7,59580,3368,69755,5319,54013,3494,77.4,7.7,2019
Financial and investment analysts,256287,7452.0,145420,6541.0,110867,5437.0,43.3,1.7,82194,1173,86999,2858,77723,1910,89.3,3.7,2019
Personal financial advisors,356802,11247.0,251382,9167.0,105420,5702.0,29.5,1.3,100846,639,116105,7643,73002,3990,62.9,5.4,2019
Insurance underwriters,108313,5246.0,44314,3259.0,63999,4602.0,59.1,3.1,66251,1640,77201,6458,60410,1955,78.3,7,2019
Financial examiners,19044,2538.0,9882,1596.0,9162,1726.0,48.1,6.4,80708,5710,81979,18943,80160,8181,97.8,24.7,2019
Credit counselors and loan officers,312507,10499.0,135003,6635.0,177504,8578.0,56.8,2.0,62017,921,80064,4071,54546,2077,68.1,4.3,2019
"Tax examiners and collectors, and revenue agents",52223,4521.0,19889,2440.0,32334,3513.0,61.9,4.1,55733,3956,65036,7647,51038,1817,78.5,9.6,2019
Tax preparers,47641,3370.0,18777,2328.0,28864,2827.0,60.6,4.1,52421,3827,62394,9068,45106,3736,72.3,12.1,2019
Other financial specialists,86667,5308.0,38499,3230.0,48168,4004.0,55.6,3.1,67805,3513,99232,11728,59726,3488,60.2,7.9,2019
"Computer, Engineering, and Science Occupations:",8747777,62729.0,6532159,49229.0,2215618,25880.0,25.3,0.2,84801,535,88755,667,75030,667,84.5,1,2019
Computer and Mathematical Occupations:,4554097,37008.0,3375006,26076.0,1179091,20859.0,25.9,0.3,87148,410,91377,341,77356,902,84.7,1,2019
Computer and information research scientists,29036,2844.0,20124,2149.0,8912,1724.0,30.7,5.1,115444,7670,121128,6488,102179,12820,84.4,11.5,2019
Computer systems analysts,541210,11715.0,324263,9347.0,216947,7732.0,40.1,1.1,81998,608,89427,2577,75628,1648,84.6,3.1,2019
Information security analysts,119961,5849.0,97720,5011.0,22241,2843.0,18.5,2.2,100526,1200,101763,1291,86684,2069,85.2,2.3,2019
Computer programmers,286721,9619.0,227137,7879.0,59584,4450.0,20.8,1.4,88133,3010,90404,1650,82351,2926,91.1,3.6,2019
Software developers,1470133,20338.0,1204391,17969.0,265742,8702.0,18.1,0.5,111358,523,114190,1983,101266,549,88.7,1.6,2019
Software quality assurance analysts and testers,62927,4154.0,35950,3397.0,26977,2708.0,42.9,3.2,77462,1711,79116,2904,75591,3458,95.5,5.6,2019
Web developers,79120,4717.0,57266,4301.0,21854,2419.0,27.6,2.6,72754,3305,76175,1487,62340,4977,81.8,6.7,2019
Web and digital interface designers,50648,4122.0,29451,3277.0,21197,2705.0,41.9,4.1,63645,3670,65154,6248,62292,5665,95.6,12.6,2019
Computer support specialists,564384,14046.0,420458,12290.0,143926,6427.0,25.5,0.9,59893,1471,60877,707,55112,1941,90.5,3.4,2019
Database administrators and architects,113267,6104.0,77025,4991.0,36242,3414.0,32.0,2.5,90976,1549,96930,2052,70256,8252,72.5,8.7,2019
Network and computer systems administrators,204989,8414.0,167734,7795.0,37255,3276.0,18.2,1.4,75994,773,76323,885,73211,4354,95.9,5.8,2019
Computer network architects,107703,5642.0,99158,5406.0,8545,1684.0,7.9,1.5,96521,2096,96066,1914,101160,4555,105.3,5.2,2019
"Computer occupations, all other",592121,16134.0,437000,13606.0,155121,7833.0,26.2,1.1,66873,1015,70029,2239,61048,1296,87.2,3.3,2019
Actuaries,30007,2681.0,18798,2213.0,11209,2083.0,37.4,6.1,121833,12282,133788,7377,101006,27934,75.5,21.3,2019
Mathematicians,3380,1026.0,2441,827.0,939,470.0,27.8,11.1,126771,20547,131394,26798,94905,21838,(X),(X),2019
Operations research analysts,146923,6235.0,75534,4380.0,71389,4803.0,48.6,2.5,82311,2590,91362,1759,75537,2072,82.7,2.8,2019
Statisticians,37709,3357.0,18881,2356.0,18828,2346.0,49.9,4.4,94269,5180,100273,11695,92037,4581,91.8,11.6,2019
Other mathematical science occupations,113858,5888.0,61675,3456.0,52183,4302.0,45.8,2.9,76480,1585,78141,4105,74189,4131,94.9,7.3,2019
Architecture and Engineering Occupations:,2889590,32350.0,2449820,29916.0,439770,11723.0,15.2,0.4,86077,368,87639,805,76547,850,87.3,1.3,2019
"Architects, except landscape and naval",177231,7624.0,132420,5792.0,44811,4110.0,25.3,2.0,87239,2596,92818,2976,72021,2316,77.6,3.5,2019
Landscape architects,25090,2697.0,16522,2131.0,8568,1564.0,34.1,5.0,69063,4513,71685,5716,61693,5703,86.1,10.5,2019
"Surveyors, cartographers, and photogrammetrists",30648,3279.0,24732,3010.0,5916,1549.0,19.3,4.6,66424,3007,70273,6107,56659,10589,(X),(X),2019
Aerospace engineers,120118,5522.0,105598,4880.0,14520,2370.0,12.1,1.9,110761,2973,112402,4552,101105,4503,89.9,5.4,2019
Agricultural engineers,2666,617.0,2283,557.0,383,233.0,14.4,8.1,91306,15172,90716,17016,93777,50228,(X),(X),2019
Bioengineers and biomedical engineers,12446,2309.0,10368,2127.0,2078,722.0,16.7,4.9,92598,11999,94134,14170,90990,27854,(X),(X),2019
Chemical engineers,69069,5171.0,56392,4560.0,12677,1968.0,18.4,2.5,102493,6456,105727,6891,101296,1987,95.8,6.5,2019
Civil engineers,373633,10229.0,317526,8972.0,56107,4831.0,15.0,1.2,90702,823,91923,948,79966,1877,87,2.2,2019
Computer hardware engineers,53377,4266.0,45025,3621.0,8352,1916.0,15.6,3.4,101495,2096,102060,7517,90923,19004,(X),(X),2019
Electrical and electronics engineers,230750,8641.0,210460,8639.0,20290,2219.0,8.8,0.9,101450,640,101802,621,92617,4372,91,4.3,2019
Environmental engineers,28423,2744.0,19909,2236.0,8514,1526.0,30.0,4.5,84613,5870,91027,6247,80086,7174,88,9.9,2019
"Industrial engineers, including health and safety",233006,7961.0,187248,7391.0,45758,3658.0,19.6,1.4,85497,1183,86334,1041,80836,2105,93.6,2.7,2019
Marine engineers and naval architects,9426,1857.0,8741,1692.0,685,447.0,7.3,4.5,87524,12084,86276,11832,103672,44492,(X),(X),2019
Materials engineers,47988,3938.0,41012,3306.0,6976,1544.0,14.5,3.0,87405,4060,87936,4078,82210,16101,93.5,18.8,2019
Mechanical engineers,296616,9472.0,272658,8808.0,23958,2429.0,8.1,0.8,91119,765,91189,797,90524,3241,99.3,3.7,2019
"Mining and geological engineers, including mining safety engineers",6948,1673.0,6448,1636.0,500,354.0,7.2,4.8,105597,16934,110014,22012,78145,14938,(X),(X),2019
Nuclear engineers,6437,1402.0,5252,1254.0,1185,566.0,18.4,7.8,111449,8369,111834,8673,105182,16816,(X),(X),2019
Petroleum engineers,25716,2645.0,20704,2360.0,5012,1230.0,19.5,4.3,135549,10154,138456,12136,126712,16122,(X),(X),2019
"Engineers, all other",531908,13750.0,457152,11968.0,74756,4299.0,14.1,0.7,100779,374,101281,404,91932,2388,90.8,2.4,2019
Architectural and civil drafters,42570,3118.0,35541,2987.0,7029,1329.0,16.5,2.9,54740,2923,56781,2501,46393,3898,81.7,7.8,2019
Other drafters,78663,5036.0,63906,4467.0,14757,2212.0,18.8,2.5,56894,1929,58064,3227,50363,6369,86.7,12,2019
Electrical and electronic engineering technologists and technicians,96045,5185.0,88713,5109.0,7332,1473.0,7.6,1.5,65019,3024,65471,2261,52401,14682,80,22.6,2019
"Other engineering technologists and technicians, except drafters",333773,9769.0,268665,8710.0,65108,4291.0,19.5,1.2,56233,1077,60034,1429,48180,2309,80.3,4.3,2019
Surveying and mapping technicians,57043,4454.0,52545,4267.0,4498,1074.0,7.9,1.8,53158,2653,53592,2844,46654,12006,(X),(X),2019
"Life, Physical, and Social Science Occupations:",1304090,22133.0,707333,16853.0,596757,12220.0,45.8,0.7,71201,550,75732,945,66846,769,88.3,1.5,2019
Agricultural and food scientists,26160,2117.0,17526,1820.0,8634,1410.0,33.0,4.7,72569,5651,76256,6878,69856,6658,91.6,12,2019
Biological scientists,77736,4899.0,38800,3212.0,38936,3083.0,50.1,2.4,68265,3355,67687,5028,68603,3554,101.4,9.2,2019
Conservation scientists and foresters,20035,2202.0,14422,1879.0,5613,1067.0,28.0,4.3,61702,1705,65489,5326,58470,9096,89.3,15.7,2019
Medical scientists,121653,6273.0,54981,4052.0,66672,4322.0,54.8,2.2,76684,3006,81831,5335,73907,4327,90.3,7.9,2019
"Life scientists, all other",6218,1252.0,3537,983.0,2681,818.0,43.1,9.9,70456,6123,83521,18536,62232,6977,(X),(X),2019
Astronomers and physicists,13025,1831.0,11417,1776.0,1608,595.0,12.3,4.2,121178,2638,121691,9040,72245,35813,(X),(X),2019
Atmospheric and space scientists,10162,1466.0,7186,1141.0,2976,1016.0,29.3,9.1,79370,5321,90894,11839,58781,9727,(X),(X),2019
Chemists and materials scientists,98380,6271.0,55717,4190.0,42663,3515.0,43.4,2.3,76785,1767,85197,3948,66645,2443,78.2,4.6,2019
"Environmental scientists and specialists, including health",34279,3055.0,20655,2342.0,13624,1829.0,39.7,4.0,67013,3218,70862,5699,63309,6950,89.3,12.2,2019
"Geoscientists and hydrologists, except geographers",38013,3347.0,28640,2879.0,9373,1765.0,24.7,4.1,92380,4993,93523,7015,90643,11524,96.9,14.3,2019
"Physical scientists, all other",270593,8685.0,152600,6418.0,117993,5339.0,43.6,1.4,85113,2611,92369,5093,76748,2167,83.1,5.1,2019
Economists,25524,2620.0,16728,2026.0,8796,1548.0,34.5,4.9,120055,10131,122372,11217,102443,16628,83.7,15.6,2019
Survey researchers,2284,733.0,1109,522.0,1175,540.0,51.4,16.9,62157,15586,76322,17003,58285,7560,(X),(X),2019
Clinical and counseling psychologists,14421,1691.0,3934,1085.0,10487,1666.0,72.7,7.8,96335,3460,100441,19377,96079,2628,(X),(X),2019
School psychologists,33240,2756.0,5066,1068.0,28174,2650.0,84.8,3.8,71199,1409,80856,13883,70524,1587,(X),(X),2019
Other psychologists,94267,4663.0,29864,2666.0,64403,4075.0,68.3,2.7,85411,3489,98820,5192,80629,3771,81.6,5.7,2019
Sociologists,3474,859.0,1362,555.0,2112,622.0,60.8,9.7,78381,14413,76241,27471,87539,24204,(X),(X),2019
Urban and regional planners,34300,3330.0,20266,2601.0,14034,2087.0,40.9,4.6,79013,4490,78409,5381,79918,5777,101.9,10.2,2019
Miscellaneous social scientists and related workers,32574,2897.0,18160,2076.0,14414,1788.0,44.3,3.8,71322,2756,74452,7262,67575,4461,90.8,10.7,2019
Agricultural and food science technicians,34910,3132.0,22517,2617.0,12393,1894.0,35.5,4.4,50504,2163,52062,2686,46020,3140,88.4,7.6,2019
Biological technicians,21176,2421.0,10180,1555.0,10996,1589.0,51.9,4.6,51294,2130,52030,5388,50278,5390,96.6,14.4,2019
Chemical technicians,60524,3900.0,39590,3151.0,20934,2754.0,34.6,4.0,54646,3155,56613,2545,50723,4711,89.6,9.2,2019
Environmental science and geoscience technicians,15989,2081.0,11259,1701.0,4730,1318.0,29.6,7.3,62034,6706,65797,6308,54883,10631,(X),(X),2019
Nuclear technicians,3301,1086.0,2230,796.0,1071,705.0,32.4,18.5,86116,18804,100736,12106,36815,38282,(X),(X),2019
Social science research assistants,6191,1343.0,2601,1056.0,3590,824.0,58.0,4.3,51958,7226,57742,12471,51324,4309,(X),(X),2019
"Other life, physical, and social science technicians",139917,6872.0,70254,4889.0,69663,5069.0,49.8,2.7,46396,1175,49080,2007,43812,3207,89.3,7.5,2019
Occupational health and safety specialists and technicians,65744,5078.0,46732,4064.0,19012,2693.0,28.9,3.4,67055,2859,72319,5801,58289,4818,80.6,9.3,2019
"Education, Legal, Community Service, Arts, and Media Occupations:",11641414,72810.0,4250685,36887.0,7390729,53129.0,63.5,0.2,53149,278,61996,230,50476,143,81.4,0.3,2019
Community and Social Service Occupations:,2135382,24922.0,745802,15007.0,1389580,21564.0,65.1,0.6,47751,444,49699,759,47043,328,94.7,1.5,2019
Substance abuse and behavioral disorder counselors,88750,6516.0,24017,3108.0,64733,5072.0,72.9,2.0,42210,1057,40951,1255,44139,3454,107.8,9.1,2019
"Educational, guidance, and career counselors and advisors",271368,9484.0,63280,4584.0,208088,8701.0,76.7,1.8,52143,551,51760,1650,52226,638,100.9,3.4,2019
Marriage and family therapists,21318,2230.0,4893,1282.0,16425,2028.0,77.0,5.1,47200,2466,50555,4130,46136,2845,(X),(X),2019
Mental health counselors,85866,5212.0,22396,2678.0,63470,4681.0,73.9,3.1,47419,1369,48361,3812,47244,1348,97.7,8.2,2019
Rehabilitation counselors,22369,2660.0,8451,2124.0,13918,1839.0,62.2,3.6,50906,5432,54863,8103,48720,5265,88.8,16.3,2019
"Counselors, all other",131603,6972.0,47615,4339.0,83988,5192.0,63.8,2.0,43484,2237,46527,3784,42184,1567,90.7,8.1,2019
"Child, family, and school social workers",57716,4728.0,9972,1920.0,47744,4088.0,82.7,2.1,45914,1045,47218,1588,45370,1725,96.1,4.9,2019
Healthcare social workers,68427,4611.0,16029,2231.0,52398,4331.0,76.6,3.7,49796,2195,44289,4966,51169,2001,115.5,13.7,2019
Mental health and substance abuse social workers,15840,2003.0,3100,974.0,12740,1713.0,80.4,3.7,60943,2464,90166,24145,60011,3918,(X),(X),2019
"Social workers, all other",590916,15049.0,105937,6294.0,484979,13635.0,82.1,1.0,48821,695,48632,1693,48864,766,100.5,3.8,2019
Probation officers and correctional treatment specialists,88471,6228.0,40145,4015.0,48326,4177.0,54.6,2.7,51532,1107,55208,3419,49650,2192,89.9,6.8,2019
